,timestamp,sensor_00,sensor_01,sensor_02,sensor_03,sensor_04,sensor_05,sensor_06,sensor_07,sensor_08,sensor_09,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,sensor_15,sensor_16,sensor_17,sensor_18,sensor_19,sensor_20,sensor_21,sensor_22,sensor_23,sensor_24,sensor_25,sensor_26,sensor_27,sensor_28,sensor_29,sensor_30,sensor_31,sensor_32,sensor_33,sensor_34,sensor_35,sensor_36,sensor_37,sensor_38,sensor_39,sensor_40,sensor_41,sensor_42,sensor_43,sensor_44,sensor_45,sensor_46,sensor_47,sensor_48,sensor_49,sensor_50,sensor_51,machine_status
0,2018/4/1 0:00,2.465394,47.09201,53.2118,46.31076,634.375,76.45975,13.41146,16.13136,15.56713,15.05353,37.2274,47.52422,31.11716,1.681353,419.5747,,461.8781,466.3284,2.565284,665.3993,398.9862,880.0001,498.8926,975.9409,627.674,741.7151,848.0708,429.0377,785.1935,684.9443,594.4445,682.8125,680.4416,433.7037,171.9375,341.9039,195.0655,90.32386,40.36458,31.51042,70.57291,30.98958,31.77083206,41.92708,39.6412,65.68287,50.92593,38.19444,157.9861,67.70834,243.0556,201.3889,NORMAL
1,2018/4/1 0:01,2.465394,47.09201,53.2118,46.31076,634.375,76.45975,13.41146,16.13136,15.56713,15.05353,37.2274,47.52422,31.11716,1.681353,419.5747,,461.8781,466.3284,2.565284,665.3993,398.9862,880.0001,498.8926,975.9409,627.674,741.7151,848.0708,429.0377,785.1935,684.9443,594.4445,682.8125,680.4416,433.7037,171.9375,341.9039,195.0655,90.32386,40.36458,31.51042,70.57291,30.98958,31.77083206,41.92708,39.6412,65.68287,50.92593,38.19444,157.9861,67.70834,243.0556,201.3889,NORMAL
2,2018/4/1 0:02,2.444734,47.35243,53.2118,46.39757,638.8889,73.54598,13.32465,16.03733,15.61777,15.01013,37.86777,48.17723,32.08894,1.708474,420.848,,462.7798,459.6364,2.500062,666.2234,399.9418,880.4237,501.3617,982.7342,631.1326,740.8031,849.8997,454.239,778.5734,715.6266,661.574,721.875,694.7721,441.2635,169.982,343.1955,200.9694,93.90508,41.40625,31.25,69.53125,30.46875,31.77083,41.66666,39.35185242,65.39352,51.21528,38.19444275,155.9606,67.12963,241.3194,203.7037,NORMAL
3,2018/4/1 0:03,2.460474,47.09201,53.1684,46.39756775,628.125,76.98898,13.31742,16.24711,15.69734,15.08247,38.57977,48.65607,31.67221,1.579427,420.7494,,462.898,460.8858,2.509521,666.0114,399.1046,878.8917,499.043,977.752,625.4076,739.2722,847.7579,474.8731,779.5091,690.4011,686.1111,754.6875,683.3831,446.2493,166.4987,343.9586,193.1689,101.0406,41.92708,31.51042,72.13541,30.46875,31.51042,40.88541,39.0625,64.81481,51.21528,38.19444,155.9606,66.84028,240.4514,203.125,NORMAL
4,2018/4/1 0:04,2.445718,47.13541,53.2118,46.39756775,636.4583,76.58897,13.35359,16.21094,15.69734,15.08247,39.48939,49.06298,31.95202,1.683831,419.8926,,461.4906,468.2206,2.604785,663.2111,400.5426,882.5874,498.5383,979.5755,627.183,737.6033,846.9182,408.8159,785.2307,704.6937,631.4814,766.1458,702.4431,433.9081,164.7498,339.963,193.877,101.7038,42.70833,31.51042,76.82291,30.98958,31.51042,41.40625,38.77315,65.10416,51.79398,38.77315,158.2755,66.55093,242.1875,201.3889,NORMAL
5,2018/4/1 0:05,2.453588,47.09201,53.1684,46.39756775,637.6157,78.18568,13.41146,16.16753,15.89265,15.16204,39.29406,49.37051,32.23816,1.673484,418.9049,,461.8948,461.9289,2.507935,663.4962,398.6428,872.4973,498.4064,974.6847,624.3462,739.2036,846.4617,429.6945,777.282,700.7193,623.1481,734.375,711.2128,438.6517,162.8758,333.7975,196.4579,90.84048,42.70833,31.77083,79.94791,30.98958,31.25,42.70833,38.77315,63.65741,51.79398,38.77315,164.6412,66.55093,241.6088,201.6782,NORMAL
6,2018/4/1 0:06,2.455556,47.04861,53.16839981,46.39756775,633.3333,75.81614,13.43316,16.13136,15.65393,15.08247,38.29974,49.57146,32.00982,1.684984,420.3324,,464.2402,467.5146,2.598702,667.4751,401.1847,882.7164,500.4944,981.2908,631.2756,740.9517,853.9647,458.3623,771.8188,722.5254,674.074,707.8125,716.1951,433.5065,161.9678,330.3747,194.0652,89.23161,42.70833,32.29166,79.94791,31.25,31.51042,43.22916,38.19444,61.9213,51.79398,39.0625,171.875,67.70834,240.162,200.2315,NORMAL
7,2018/4/1 0:07,2.449653,47.13541,53.16839981,46.39756775,630.6713,75.77331,13.25231,16.12413,16.19647,15.08247,37.3396,49.32732,31.8832,1.646842,417.552,,462.4563,463.8936,2.533115,662.9967,395.2946,864.6103,496.4218,966.2091,618.3017,741.4593,834.6233,476.1262,784.8675,703.1723,653.2407,768.75,723.7064,451.6564,162.8504,327.9788,196.9991,87.68256,42.96875,32.55208,78.38541,30.98958,31.51041603,42.96875,38.19444275,59.60648,50.92593,39.35185,178.5301,68.57639,241.3194,201.0995,NORMAL
8,2018/4/1 0:08,2.463426,47.09201,53.16839981,46.39756775,631.9444,74.58916,13.28848,16.13136,15.47309,15.11863,38.45401,50.28795,32.09234,1.686156,422.0777,,463.4988,461.546,2.52659,666.7677,400.1693,881.6849,500.8832,982.4542,629.5605,743.5971,852.8547,480.1708,791.9694,716.4828,666.6666,718.2291,671.4195,439.8698,155.7845,316.8784,197.1554,89.55923,42.70833,32.55208,75.52083,30.98958206,31.51041603,42.1875,38.19444,57.87037,50.63657,39.35185,182.0023,69.44444,243.0556,201.6782,NORMAL
9,2018/4/1 0:09,2.445718,47.17882,53.1684,46.39756775,641.7823,74.57428,13.38252,16.24711,15.61777,15.11863,39.52119,50.44635,32.25679,1.637774,421.4344,,463.4123,468.8477,2.630246,666.2795,400.21,881.1141,501.1399,980.8168,629.5303,746.6206,854.307,438.7823,799.5127,717.6339,635.1852,736.4583,699.0274,445.2378,153.0564,313.2721,195.057,98.83604,42.70833,32.55208,73.4375,30.98958206,31.51041603,41.66666,39.0625,56.42361,50.63657,39.0625,186.6319,69.7338,246.5278,200.8102,NORMAL
10,2018/4/1 0:10,2.46441,47.48264,53.125,46.39756775,637.7314,76.05148,13.41146,16.16753,15.65393,15.11863,39.90199,50.48941,32.80076,1.678884,419.334,,462.5085,464.5157,2.575479,661.137,398.3386,875.1385,497.4714,971.978,623.6445,746.0667,845.2891,447.1741,771.0511,706.3684,667.5926,751.0416,694.1971,460.4902,154.8265,320.0443,192.2992,89.76776,42.70833,32.55208,75.52083,30.98958,31.51041603,41.40625,39.35185,54.97685,50.92593,39.35185,190.9722,71.18056,250.8681,199.9421,NORMAL
11,2018/4/1 0:11,2.444734,47.91666,53.1684,46.39756775,635.6482,74.58654,13.41146,16.16753,15.84925,15.11863,39.78521,50.7882,33.14559,1.62582,420.2469,,464.127,460.3733,2.506268,668.0244,399.2312,884.1331,499.8885,977.2217,626.2581,741.416,849.9813,468.0374,783.4221,702.0211,690.7407,734.375,711.9642,455.962,159.5647,322.6265,192.3656,94.38536,42.96875,32.29166,78.125,30.46875,31.51041603,41.66666,39.35185242,53.81944,51.21528,39.0625,193.5764,72.33796,253.1829,200.2315,NORMAL
12,2018/4/1 0:12,2.460474,48.26389,53.125,46.39756775,630.0926,76.95988,13.34635,16.16753,15.73351,15.01013,40.04284,50.50479,33.46326,1.641763,420.9848,,462.6014,461.4166,2.516371,664.4367,398.4925,879.9375,498.6404,976.59,628.4428,741.4614,850.1902,431.9778,776.2039,692.2758,618.9814,743.2291,700.5829,453.1859,161.3954,326.8734,190.6639,95.85509,42.1875,31.77083,78.64583,30.46874809,31.51041603,42.70833,39.35185,53.24074,50.92593,39.0625,195.6019,72.33796,253.1829,202.2569,NORMAL
